;Disposa.de.connexió.a.Internet.a.la.llar.;Connexió.ràpida;Tenen.tarifa.plana.;Missatges.mobil;Quants.televisors.tenen.;TV.de.pagament.;Amb.quina.freqüència.usa.ordinador.;Utilitza.programes.ofimàtics;Informàtica.avançada;Aplicacions.específiques;Per.oci;Amb.quina.freqüència.usa.inet.;Català;Castellà;Anglès;Edat;Sexe;Nivell.d.estudis;Activitat.professional;Nivell.ingressos.mensuals;Estudia.per.Internet.;Fa.servir.correu.electrònic.;Fa.servir.xat.;Fa.teletreball.;Ha.comprat.aliments.;Ha.comprat.per.Internet.;Internet.per.a.l.oci.;Pagament.a.través.d.Internet.;Tràmits.amb.els.serveis.sanitaris.;Tràmits.per.Internet.amb.l.Admó.;Utilitza.serveis.banca.electrònica.;Visita.webs.de.l.Admó.;Visita.webs.sanitaris.
100;TRUE;FALSE;FALSE;Entre 10 i 20;3TVs;TRUE;Diàriament;TRUE;TRUE;TRUE;TRUE;Diàriament;TRUE;TRUE;TRUE;Edat(14,25];Dona;Superiors;Assalariats;210.000 - 420.000;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE
1014;FALSE;FALSE;FALSE;Menys de 5;3TVs;FALSE;Diàriament;TRUE;TRUE;TRUE;TRUE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(14,25];Home;Superiors;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
102;TRUE;TRUE;TRUE;NO;3TVs;FALSE;Amb menys freqüència;TRUE;FALSE;FALSE;TRUE;Setmanalment;TRUE;TRUE;TRUE;Edat(65,99];Dona;Superiors;Altres inactius;Més de 675.000;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
1026;FALSE;FALSE;FALSE;Entre 5 i 10;1TV;FALSE;Diàriament;TRUE;FALSE;TRUE;TRUE;Mensualment;TRUE;TRUE;FALSE;Edat(25,35];Dona;Primaris;Aturats;125.000 - 210.000;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1055;FALSE;FALSE;FALSE;Menys de 5;2TVs;FALSE;Setmanalment;TRUE;FALSE;TRUE;TRUE;Setmanalment;FALSE;TRUE;FALSE;Edat(25,35];Dona;Secundaris;Assalariats;125.000 - 210.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1064;TRUE;TRUE;TRUE;NO;1TV;FALSE;Amb menys freqüència;FALSE;FALSE;TRUE;FALSE;Amb menys freq.;TRUE;TRUE;FALSE;Edat(45,55];Dona;Superiors;Assalariats;420.000 - 675.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1087;TRUE;FALSE;TRUE;Entre 5 i 10;2TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;FALSE;Diàriament;TRUE;TRUE;TRUE;Edat(25,35];Dona;Superiors;Aturats;210.000 - 420.000;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
1097;FALSE;FALSE;FALSE;Menys de 5;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Setmanalment;TRUE;TRUE;FALSE;Edat(45,55];Home;Superiors;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE
11;TRUE;FALSE;TRUE;Cap (o menys d'1 per;3TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;FALSE;Diàriament;TRUE;TRUE;TRUE;Edat(45,55];Home;Secundaris;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
1115;TRUE;FALSE;TRUE;Cap (o menys d'1 per;+3TVs;TRUE;Diàriament;TRUE;FALSE;TRUE;TRUE;Setmanalment;FALSE;TRUE;FALSE;Edat(35,45];Dona;Superiors;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
1127;FALSE;FALSE;FALSE;Entre 10 i 20;1TV;FALSE;Amb menys freqüència;FALSE;FALSE;FALSE;TRUE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(14,25];Home;Primaris;Empresaris;NS/NC;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1129;TRUE;FALSE;FALSE;Menys de 5;2TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;TRUE;Setmanalment;TRUE;TRUE;FALSE;Edat(55,65];Dona;Secundaris;Mestressa casa;210.000 - 420.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1136;TRUE;FALSE;TRUE;Menys de 5;3TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;TRUE;Diàriament;FALSE;TRUE;FALSE;Edat(25,35];Home;Superiors;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
115;TRUE;TRUE;TRUE;NO;3TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;FALSE;Diàriament;TRUE;TRUE;TRUE;Edat(14,25];Home;Superiors;Assalariats;NS/NC;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE
1184;TRUE;TRUE;TRUE;Menys de 5;3TVs;TRUE;Diàriament;TRUE;FALSE;TRUE;TRUE;Diàriament;TRUE;TRUE;TRUE;Edat(45,55];Home;Superiors;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
119;TRUE;FALSE;FALSE;Més de 20;2TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;FALSE;Setmanalment;TRUE;TRUE;FALSE;Edat(14,25];Dona;Primaris;Estudiants;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE
1191;FALSE;FALSE;FALSE;Entre 5 i 10;2TVs;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Mensualment;FALSE;TRUE;TRUE;Edat(25,35];Dona;Primaris;Empresaris;125.000 - 210.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1192;TRUE;FALSE;FALSE;Cap (o menys d'1 per;1TV;FALSE;Diàriament;FALSE;FALSE;TRUE;TRUE;Setmanalment;TRUE;TRUE;TRUE;Edat(35,45];Home;Superiors;Empresaris;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
120;TRUE;FALSE;FALSE;Cap (o menys d'1 per;2TVs;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Setmanalment;FALSE;TRUE;FALSE;Edat(35,45];Dona;Superiors;Assalariats;Més de 675.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
1215;TRUE;TRUE;TRUE;Menys de 5;3TVs;FALSE;Mensualment;FALSE;FALSE;FALSE;TRUE;Mensualment;FALSE;TRUE;FALSE;Edat(35,45];Dona;Primaris;Aturats;210.000 - 420.000;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE
123;FALSE;FALSE;FALSE;Cap (o menys d'1 per;1TV;TRUE;No;FALSE;FALSE;FALSE;FALSE;Amb menys freq.;FALSE;FALSE;FALSE;Edat(25,35];Home;Superiors;Mestressa casa;Més de 675.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1233;TRUE;FALSE;FALSE;Menys de 5;2TVs;FALSE;Diàriament;TRUE;FALSE;TRUE;TRUE;Mensualment;TRUE;FALSE;FALSE;Edat(55,65];Dona;Secundaris;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE
1243;TRUE;TRUE;TRUE;Entre 10 i 20;3TVs;FALSE;Diàriament;FALSE;FALSE;TRUE;TRUE;Setmanalment;TRUE;TRUE;FALSE;Edat(25,35];Dona;Secundaris;Mestressa casa;210.000 - 420.000;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
1246;TRUE;FALSE;FALSE;Cap (o menys d'1 per;2TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;FALSE;Setmanalment;TRUE;FALSE;FALSE;Edat(65,99];Dona;Secundaris;Altres inactius;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1254;FALSE;FALSE;FALSE;Entre 5 i 10;+3TVs;TRUE;Diàriament;TRUE;FALSE;TRUE;TRUE;Diàriament;FALSE;TRUE;TRUE;Edat(35,45];Dona;Superiors;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
1260;TRUE;FALSE;TRUE;Entre 10 i 20;3TVs;FALSE;Amb menys freqüència;TRUE;FALSE;FALSE;TRUE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(14,25];Home;Primaris;Estudiants;210.000 - 420.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1262;TRUE;FALSE;TRUE;NO;1TV;TRUE;Setmanalment;FALSE;FALSE;FALSE;TRUE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(65,99];Home;Primaris;Altres inactius;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1278;FALSE;FALSE;FALSE;Entre 10 i 20;2TVs;FALSE;Mensualment;FALSE;FALSE;FALSE;TRUE;Setmanalment;TRUE;TRUE;FALSE;Edat(14,25];Home;Secundaris;Aturats;NS/NC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1285;TRUE;TRUE;FALSE;Menys de 5;3TVs;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Diàriament;TRUE;FALSE;FALSE;Edat(35,45];Dona;Secundaris;Mestressa casa;420.000 - 675.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE
13;TRUE;FALSE;FALSE;Cap (o menys d'1 per;2TVs;FALSE;Diàriament;TRUE;FALSE;FALSE;TRUE;Amb menys freq.;TRUE;FALSE;FALSE;Edat(25,35];Home;Primaris;Empresaris;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
1307;TRUE;FALSE;FALSE;Cap (o menys d'1 per;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Setmanalment;TRUE;TRUE;FALSE;Edat(45,55];Home;Primaris;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1322;TRUE;FALSE;TRUE;Entre 5 i 10;+3TVs;FALSE;Diàriament;TRUE;FALSE;TRUE;TRUE;Diàriament;TRUE;TRUE;TRUE;Edat(25,35];Dona;Superiors;Assalariats;Més de 675.000;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
133;FALSE;FALSE;FALSE;Entre 10 i 20;3TVs;FALSE;Amb menys freqüència;TRUE;TRUE;FALSE;TRUE;Setmanalment;TRUE;TRUE;FALSE;Edat(14,25];Home;Secundaris;Empresaris;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
1330;TRUE;FALSE;FALSE;Entre 5 i 10;+3TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;FALSE;Setmanalment;TRUE;TRUE;FALSE;Edat(25,35];Dona;Superiors;Empresaris;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1333;FALSE;FALSE;FALSE;Cap (o menys d'1 per;1TV;FALSE;Amb menys freqüència;TRUE;FALSE;FALSE;FALSE;Amb menys freq.;FALSE;FALSE;TRUE;Edat(45,55];Dona;Secundaris;Assalariats;125.000 - 210.000;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
1342;TRUE;TRUE;TRUE;NO;2TVs;FALSE;Amb menys freqüència;TRUE;FALSE;FALSE;TRUE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(55,65];Dona;Secundaris;Empresaris;Menys de 125.000;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE
1345;FALSE;FALSE;FALSE;Cap (o menys d'1 per;1TV;FALSE;Amb menys freqüència;TRUE;FALSE;FALSE;TRUE;Amb menys freq.;FALSE;FALSE;TRUE;Edat(35,45];Dona;Secundaris;Mestressa casa;NS/NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1347;TRUE;FALSE;FALSE;Entre 10 i 20;2TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;TRUE;Mensualment;FALSE;TRUE;FALSE;Edat(14,25];Home;Primaris;Assalariats;NS/NC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1348;FALSE;FALSE;FALSE;NO;2TVs;TRUE;Diàriament;TRUE;TRUE;TRUE;FALSE;Diàriament;TRUE;TRUE;FALSE;Edat(25,35];Home;Secundaris;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
1364;FALSE;FALSE;FALSE;Menys de 5;2TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;FALSE;Diàriament;TRUE;TRUE;TRUE;Edat(25,35];Dona;Superiors;Empresaris;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
138;TRUE;FALSE;FALSE;NO;1TV;TRUE;Diàriament;FALSE;TRUE;FALSE;FALSE;Diàriament;FALSE;TRUE;FALSE;Edat(35,45];Home;Superiors;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE
1384;FALSE;FALSE;FALSE;NO;3TVs;FALSE;Amb menys freqüència;TRUE;FALSE;FALSE;TRUE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(55,65];Dona;Primaris;Mestressa casa;NS/NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1396;TRUE;FALSE;TRUE;NO;2TVs;TRUE;Amb menys freqüència;FALSE;FALSE;FALSE;TRUE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(45,55];Dona;Primaris;Mestressa casa;NS/NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
14;TRUE;FALSE;TRUE;Entre 5 i 10;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;TRUE;Diàriament;TRUE;TRUE;FALSE;Edat(14,25];Home;Secundaris;Assalariats;NS/NC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
143;TRUE;FALSE;FALSE;Menys de 5;1TV;FALSE;Setmanalment;FALSE;FALSE;FALSE;TRUE;Setmanalment;FALSE;TRUE;FALSE;Edat(14,25];Home;Secundaris;Estudiants;Més de 675.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
144;FALSE;FALSE;FALSE;Menys de 5;2TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;FALSE;Amb menys freq.;TRUE;FALSE;FALSE;Edat(25,35];Dona;Primaris;Assalariats;210.000 - 420.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1446;TRUE;FALSE;TRUE;Cap (o menys d'1 per;3TVs;TRUE;Diàriament;TRUE;FALSE;TRUE;TRUE;Diàriament;TRUE;FALSE;FALSE;Edat(35,45];Home;Primaris;Aturats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE
1502;FALSE;FALSE;FALSE;Entre 5 i 10;3TVs;FALSE;Mensualment;TRUE;FALSE;TRUE;FALSE;Mensualment;TRUE;TRUE;FALSE;Edat(25,35];Dona;Superiors;Assalariats;210.000 - 420.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
1509;TRUE;TRUE;TRUE;NO;1TV;FALSE;Mensualment;TRUE;FALSE;FALSE;FALSE;Diàriament;FALSE;TRUE;FALSE;Edat(35,45];Home;Secundaris;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
1513;TRUE;FALSE;TRUE;Entre 10 i 20;2TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;FALSE;Setmanalment;TRUE;FALSE;FALSE;Edat(14,25];Dona;Secundaris;Estudiants;NS/NC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
153;FALSE;FALSE;FALSE;Menys de 5;3TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;FALSE;Setmanalment;TRUE;TRUE;TRUE;Edat(35,45];Dona;Secundaris;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1532;FALSE;FALSE;FALSE;Entre 5 i 10;1TV;FALSE;Amb menys freqüència;FALSE;FALSE;FALSE;TRUE;Setmanalment;FALSE;TRUE;FALSE;Edat(65,99];Home;Secundaris;Altres inactius;NS/NC;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1536;TRUE;FALSE;TRUE;NO;3TVs;FALSE;Amb menys freqüència;TRUE;FALSE;FALSE;FALSE;Setmanalment;TRUE;TRUE;FALSE;Edat(35,45];Dona;Secundaris;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1546;TRUE;FALSE;FALSE;NO;1TV;TRUE;Setmanalment;TRUE;FALSE;FALSE;FALSE;Mensualment;FALSE;TRUE;FALSE;Edat(55,65];Dona;Secundaris;Assalariats;210.000 - 420.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
155;TRUE;FALSE;TRUE;Entre 10 i 20;+3TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;FALSE;Diàriament;TRUE;TRUE;FALSE;Edat(25,35];Home;Secundaris;Aturats;210.000 - 420.000;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
1554;FALSE;FALSE;FALSE;NO;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(35,45];Dona;Secundaris;Assalariats;125.000 - 210.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1555;FALSE;FALSE;FALSE;Entre 5 i 10;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Setmanalment;FALSE;TRUE;FALSE;Edat(25,35];Dona;Primaris;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
156;FALSE;FALSE;FALSE;Entre 10 i 20;2TVs;FALSE;Diàriament;TRUE;TRUE;FALSE;TRUE;Setmanalment;TRUE;TRUE;FALSE;Edat(14,25];Home;Secundaris;Estudiants;NS/NC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1562;TRUE;TRUE;TRUE;Cap (o menys d'1 per;3TVs;TRUE;Setmanalment;FALSE;FALSE;FALSE;TRUE;Setmanalment;TRUE;TRUE;FALSE;Edat(45,55];Home;Secundaris;Assalariats;125.000 - 210.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1569;TRUE;TRUE;TRUE;Cap (o menys d'1 per;3TVs;FALSE;Diàriament;TRUE;FALSE;FALSE;TRUE;Diàriament;FALSE;TRUE;FALSE;Edat(14,25];Dona;Secundaris;Estudiants;NS/NC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1572;TRUE;FALSE;FALSE;Cap (o menys d'1 per;2TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;FALSE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(35,45];Dona;Secundaris;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
1582;TRUE;FALSE;TRUE;Menys de 5;2TVs;FALSE;Diàriament;TRUE;FALSE;TRUE;TRUE;Diàriament;TRUE;TRUE;FALSE;Edat(35,45];Home;Superiors;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1583;FALSE;FALSE;FALSE;Entre 10 i 20;2TVs;FALSE;No;FALSE;FALSE;FALSE;FALSE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(45,55];Dona;Secundaris;Empresaris;125.000 - 210.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1602;TRUE;TRUE;TRUE;NO;2TVs;FALSE;Setmanalment;TRUE;TRUE;TRUE;TRUE;Setmanalment;TRUE;FALSE;FALSE;Edat(25,35];Dona;Primaris;Empresaris;125.000 - 210.000;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
1603;TRUE;FALSE;FALSE;NO;3TVs;FALSE;Diàriament;TRUE;FALSE;TRUE;FALSE;Diàriament;TRUE;FALSE;FALSE;Edat(35,45];Home;Secundaris;Empresaris;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
1611;TRUE;FALSE;FALSE;Cap (o menys d'1 per;2TVs;FALSE;Amb menys freqüència;FALSE;FALSE;TRUE;TRUE;Amb menys freq.;TRUE;TRUE;FALSE;Edat(35,45];Dona;Superiors;Assalariats;210.000 - 420.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1618;TRUE;FALSE;FALSE;Cap (o menys d'1 per;3TVs;FALSE;Diàriament;TRUE;FALSE;FALSE;TRUE;Mensualment;TRUE;TRUE;TRUE;Edat(25,35];Home;Primaris;Assalariats;125.000 - 210.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
1633;FALSE;FALSE;FALSE;Entre 5 i 10;1TV;FALSE;Diàriament;FALSE;FALSE;TRUE;FALSE;Diàriament;FALSE;FALSE;TRUE;Edat(14,25];Dona;Primaris;Assalariats;Menys de 125.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1639;TRUE;TRUE;TRUE;NO;+3TVs;TRUE;Mensualment;FALSE;FALSE;FALSE;TRUE;Mensualment;TRUE;FALSE;FALSE;Edat(45,55];Dona;Secundaris;Estudiants;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1653;TRUE;TRUE;TRUE;Cap (o menys d'1 per;2TVs;FALSE;Diàriament;FALSE;FALSE;FALSE;TRUE;Diàriament;TRUE;FALSE;FALSE;Edat(65,99];Home;Superiors;Altres inactius;210.000 - 420.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1673;TRUE;FALSE;TRUE;Cap (o menys d'1 per;3TVs;FALSE;Setmanalment;FALSE;FALSE;FALSE;TRUE;Mensualment;TRUE;TRUE;TRUE;Edat(35,45];Dona;Primaris;Mestressa casa;NS/NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1678;TRUE;FALSE;FALSE;Cap (o menys d'1 per;3TVs;FALSE;Amb menys freqüència;FALSE;FALSE;FALSE;TRUE;Amb menys freq.;TRUE;TRUE;FALSE;Edat(65,99];Home;Secundaris;Altres inactius;125.000 - 210.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
1679;TRUE;FALSE;FALSE;NO;1TV;FALSE;Setmanalment;TRUE;FALSE;FALSE;TRUE;Setmanalment;TRUE;FALSE;FALSE;Edat(55,65];Dona;Secundaris;Altres inactius;125.000 - 210.000;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
1709;TRUE;TRUE;TRUE;Cap (o menys d'1 per;3TVs;FALSE;Diàriament;FALSE;TRUE;FALSE;FALSE;Diàriament;FALSE;TRUE;FALSE;Edat(25,35];Home;Primaris;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
